,OverallQual,GrLivArea,TotalBsmtSF,GarageCars,FullBath,YearBuilt,SalePrice,ExterQual_E,BsmtQual_E,FireplaceQu_E,HeatingQC_E,GarageFinish_E,Blmngtn,Blueste,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,IDOTRR,MeadowV,Mitchel,NAmes,NPkVill,NWAmes,NoRidge,NridgHt,OldTown,SWISU,Sawyer,SawyerW,Somerst,StoneBr,Timber,Veenker
0,7,7.44483327389,6.7534379186,2.0,2,1.04607836559,12.2476943202,4,4.0,0,5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,7.14124512235,7.14124512235,2.0,2,0.154737490653,12.1090109327,3,4.0,3,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,7,7.48829351516,6.82546003626,2.0,2,0.980053115591,12.317166693,4,4.0,3,5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,7.44891610254,6.62936325344,3.0,1,-1.8590326342,11.8493977016,3,3.0,4,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,7.69575799055,7.04403289727,3.0,2,0.947040490593,12.4292161968,4,4.0,3,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,5,7.2174434317,6.68085467879,2.0,1,0.715952115611,11.8705999092,3,4.0,0,5,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8,7.43543801981,7.43070708255,2.0,2,1.07909099058,12.6346030266,4,5.0,4,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,7,7.64539769943,7.01031186731,2.0,2,0.0556996156604,12.2060726455,3,4.0,3,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,7,7.48155570191,6.85961490365,2.0,2,-1.33083063424,11.7745202027,3,3.0,3,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,5,6.98286275147,6.89972310728,1.0,1,-1.06672963425,11.6784399034,3,3.0,3,5,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,6.94793706861,6.94793706861,1.0,1,-0.20840138432,11.7714361601,3,3.0,0,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,9,7.75147531802,7.06987412846,3.0,3,1.11210361558,12.751299696,5,5.0,4,5,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,5,6.81673588059,6.81673588059,1.0,1,-0.307439259312,11.8775685786,3,3.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,7,7.30988148582,7.30988148582,3.0,2,1.14511624058,12.5407575716,4,4.0,4,5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,7.13409372119,7.13409372119,1.0,1,-0.373464509307,11.9640010843,3,3.0,2,3,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,7,6.75110146894,6.72503364217,2.0,1,-1.39685588423,11.7905572016,3,3.0,0,5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,6.91274282049,6.91274282049,2.0,1,-0.0433382593321,11.9117015849,3,3.0,3,5,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,4,7.16780918432,0.0,2.0,2,-0.142376134325,11.4075649493,3,0.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,5,7.01660968389,7.01660968389,2.0,1,1.07909099058,11.9766594812,3,3.0,0,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,5,7.20042489294,6.93731408122,1.0,1,-0.439489759302,11.8422292121,3,3.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,8,7.77359446736,7.05531284334,3.0,3,1.11210361558,12.6925031125,4,5.0,4,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,7,7.01121398735,6.45833828334,1.0,1,-1.36384325923,11.8451027773,3,3.0,4,5,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,8,7.49331724886,7.48324441607,2.0,2,1.01306574059,12.3458345879,4,4.0,4,5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5,6.96696713861,6.94793706861,2.0,1,0.154737490653,11.7745202027,3,4.0,3,3,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,6.96696713861,6.96696713861,1.0,1,-0.109363509327,11.9447078814,3,3.0,3,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,8,7.378383713,7.35691824236,3.0,2,1.17812886558,12.4541039124,4,4.0,4,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,5,6.80350525761,6.80350525761,2.0,1,-0.670578134285,11.8115474775,3,3.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,8,7.44132038972,7.44132038972,3.0,2,1.17812886558,12.6313403809,4,5.0,4,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,5,7.378383713,7.30317005124,1.0,1,-0.4725023843,12.2428866187,3,3.0,4,3,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
